Case #;Class;I0;PA500;HFS;DA;Area;A/DA;Max IP;DR;P
51;3;310,00;0,17;0,17;98,51;2741,03;27,82;49,33;85,27;388,98
52;3;274,99;0,15;0,14;66,46;1217,42;18,32;40,85;52,42;327,56
53;3;281,32;0,23;0,44;157,88;5305,12;33,60;46,38;150,92;398,90
54;3;327,00;0,14;0,08;76,21;1664,67;21,84;43,22;62,77;379,26
55;4;470,52;0,13;0,07;150,22;2657,91;17,69;47,56;142,50;491,47
56;4;223,00;0,12;0,08;33,10;197,01;5,95;30,45;12,96;252,48
57;4;152,00;0,17;0,23;34,22;94,35;2,76;31,28;13,88;180,61
58;4;303,00;0,06;0,04;22,57;102,50;4,54;21,83;5,72;321,65
59;4;250,00;0,09;0,09;29,64;180,76;6,10;26,14;13,96;280,12
60;4;197,00;0,13;0,07;33,46;409,65;12,24;26,99;19,77;231,78
61;4;197,00;0,13;0,07;33,46;409,65;12,24;26,99;19,77;231,78
62;4;216,41;0,12;0,07;53,60;280,45;5,23;22,79;48,51;215,37
63;4;178,00;0,15;0,10;40,29;474,40;11,77;25,92;30,85;209,18
64;4;185,00;0,15;0,09;39,89;361,75;9,07;26,86;29,49;210,18
65;4;391,00;0,06;0,01;35,78;265,15;7,41;22,13;28,11;400,99
66;4;502,00;0,07;0,03;53,24;834,27;15,67;33,33;41,51;544,04
67;4;176,00;0,09;0,08;20,59;79,71;3,87;18,23;9,58;191,99
68;4;145,00;0,12;0,11;21,22;82,46;3,89;20,30;6,17;162,51
69;4;124,13;0,13;0,11;20,59;78,34;3,80;18,46;9,12;134,89
70;4;103,00;0,16;0,29;23,75;78,26;3,29;22,32;8,12;124,98
71;5;1724,09;0,05;-0,02;404,13;3053,97;7,56;71,43;399,19;1489,39
72;5;1385,66;0,09;0,09;202,48;8785,03;43,39;143,09;143,26;1524,61
73;5;1084,25;0,07;0,00;191,90;2937,97;15,31;66,56;179,98;1064,10
74;5;649,37;0,11;0,02;207,11;3344,43;16,15;50,55;200,85;623,91
75;5;1500,00;0,06;0,05;375,10;4759,45;12,69;78,45;366,80;1336,16
76;5;770,00;0,04;0,00;175,02;346,09;1,98;25,22;173,19;654,80
77;5;650,00;0,04;0,15;216,81;427,53;1,97;33,77;214,17;528,70
78;5;691,97;0,03;0,09;190,68;304,27;1,60;23,98;189,16;594,32
79;5;1461,75;0,04;0,05;391,85;5574,00;14,22;57,23;387,64;1428,84
80;5;1496,74;0,10;0,08;640,28;11072,00;17,29;108,29;631,05;1178,27
81;5;1111,81;0,10;0,07;386,99;7659,74;19,79;86,03;377,30;990,98
82;5;1270,67;0,08;0,07;555,35;3612,97;6,51;68,78;551,08;895,19
83;5;1647,94;0,08;0,09;576,77;11852,49;20,55;111,44;565,90;1402,88
84;5;1535,85;0,09;0,00;637,35;10814,05;16,97;96,61;632,17;1197,76
85;6;2100,00;0,06;-0,05;390,48;16640,72;42,62;125,90;380,64;2073,03
86;6;1800,00;0,03;0,04;301,06;4406,15;14,64;67,63;293,37;1742,38
87;6;2100,00;0,12;0,38;450,55;35671,61;79,17;436,10;113,20;2461,45
88;6;1666,15;0,01;0,06;72,93;1402,23;19,23;51,85;58,60;1746,58
89;6;1700,00;0,04;0,11;120,65;12331,10;102,20;120,30;-9,26;2212,18
90;6;1949,12;0,05;0,02;170,33;3212,08;18,86;101,46;136,82;1941,37
91;6;1850,00;0,08;0,07;253,62;13113,20;51,70;160,07;196,73;1916,99
92;6;2350,00;0,08;0,27;515,29;27758,64;53,87;289,57;426,23;2457,68
93;6;1800,00;0,09;0,21;362,86;15021,55;41,40;217,83;290,20;1893,66
94;6;1900,00;0,05;0,11;272,62;7481,59;27,44;138,36;234,90;1924,52
95;6;1800,00;0,07;0,16;385,56;13831,72;35,87;157,57;351,90;1823,03
96;6;1850,00;0,07;0,23;325,19;8644,98;26,58;208,74;249,35;1908,18
97;6;1650,00;0,05;0,04;274,43;5824,90;21,23;81,24;262,13;1603,07
98;6;2800,00;0,08;0,18;583,26;31388,65;53,82;298,58;501,04;2896,58
99;6;2329,84;0,07;0,35;377,25;25369,04;67,25;336,08;171,39;2686,44
100;6;2400,00;0,08;0,22;596,04;37939,26;63,65;261,35;535,69;2447,77
101;6;2000,00;0,07;0,12;330,27;15381,10;46,57;169,20;283,64;2063,07
102;6;2000,00;0,11;0,11;520,22;40087,92;77,06;204,09;478,52;2088,65
103;6;2600,00;0,20;0,21;1063,44;174480,48;164,07;418,69;977,55;2664,58
104;6;1600,00;0,07;-0,07;436,94;12655,34;28,96;103,73;432,13;1475,37
105;6;2300,00;0,05;0,14;185,45;5086,29;27,43;178,69;49,59;2480,59
106;6;2600,00;0,07;0,05;745,47;39845,77;53,45;154,12;729,37;2545,42
